ax,ay,az,gx,gy,gz,mx,my,mz,target,DateRecord,TimeRecord
3.36,9.12,-1.09,0.033816,-0.004363,0.018544,21.875,-10.5625,25.5625,1,2024-11-14,11:04:31.593731
3.25,9.09,-1.0,-0.020726,-0.018544,0.016362,20.75,-10.875,25.5625,1,2024-11-14,11:04:31.764632
3.29,9.07,-0.97,0.001091,0.038179,-0.038179,22.1875,-10.1875,26.0625,1,2024-11-14,11:04:32.015790
3.32,9.11,-1.0,-0.009817,-0.040361,0.025089,21.5,-10.1875,26.375,1,2024-11-14,11:04:32.186733
3.37,9.08,-1.04,-0.009817,0.02618,-0.004363,21.5,-10.5625,25.5625,1,2024-11-14,11:04:32.386573
3.23,9.11,-1.1,0.018544,0.022907,-0.010908,21.1875,-10.875,25.25,1,2024-11-14,11:04:32.648731
3.31,9.15,-0.94,-0.015272,-0.017453,0.006545,21.875,-10.1875,25.5625,1,2024-11-14,11:04:32.883765
3.26,9.1,-0.97,0.010908,0.001091,-0.009817,21.875,-9.75,26.375,1,2024-11-14,11:04:33.132581
3.31,9.16,-0.91,-0.020726,-0.037088,0.025089,21.1875,-10.5625,27.1875,1,2024-11-14,11:04:33.379933
3.26,9.09,-0.94,-0.01309,-0.019635,0.007636,21.5,-10.5625,25.25,1,2024-11-14,11:04:33.599683
3.36,9.1,-0.96,0.002182,-0.021817,0.008727,21.875,-10.5625,26.0625,1,2024-11-14,11:04:33.599683
3.34,9.13,-0.97,-0.001091,0.014181,0.001091,21.5,-10.5625,26.375,1,2024-11-14,11:04:33.814600
3.33,9.11,-1.04,-0.004363,0.005454,-0.003272,21.875,-10.5625,25.25,1,2024-11-14,11:04:34.096266
3.31,9.08,-0.94,-0.019635,-0.028362,0.014181,21.875,-9.75,26.0,1,2024-11-14,11:04:34.284139
3.34,9.06,-0.98,0.001091,-0.05236,0.035997,21.5,-10.5625,24.0625,1,2024-11-14,11:04:34.542928
3.33,8.99,-0.89,-0.041452,-0.061087,0.043633,21.5,-10.875,25.5625,1,2024-11-14,11:04:34.574910
3.55,9.08,-0.94,-0.023998,-0.02618,0.009817,21.875,-11.25,25.25,1,2024-11-14,11:04:34.734469
3.51,9.02,-0.87,0.029452,0.049087,-0.034907,22.5625,-10.875,24.375,1,2024-11-14,11:04:34.952854
3.44,9.08,-1.01,0.050178,0.075267,-0.031634,21.875,-10.875,26.0625,1,2024-11-14,11:04:35.169729
3.37,9.0,-0.93,0.010908,0.057814,-0.058905,20.375,-10.875,26.375,1,2024-11-14,11:04:35.309156
